#""Wavelength (nm)""",Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1,Photon Flux (Global Tilt)
280,4.7309E-23,2.5361E-26,2.9915E-21
280.5,1.2307E-21,1.0917E-24,7.8100E-20
281,5.6895E-21,6.1253E-24,3.6234E-19
281.5,1.5662E-19,2.7479E-22,1.0010E-17
282,1.1946E-18,2.8346E-21,7.6622E-17
282.5,4.5436E-18,1.3271E-20,2.9246E-16
283,1.8452E-17,6.7646E-20,1.1919E-15
283.5,3.5360E-17,1.4614E-19,2.2922E-15
284,7.2670E-16,4.9838E-18,4.7274E-14
284.5,2.4856E-15,2.1624E-17,1.6227E-13
285,8.0142E-15,8.9998E-17,5.2503E-13
285.5,4.2613E-14,6.4424E-16,2.8015E-12
286,1.3684E-13,2.3503E-15,9.0277E-12
286.5,8.3823E-13,1.8458E-14,5.5494E-11
287,2.7367E-12,7.2547E-14,1.8181E-10
287.5,1.0903E-11,3.6618E-13,7.2687E-10
288,6.2337E-11,2.8061E-12,4.1703E-09
288.5,1.7162E-10,9.0651E-12,1.1521E-08
289,5.6265E-10,3.4978E-11,3.7902E-08
289.5,2.0749E-09,1.5368E-10,1.4026E-07
290,6.0168E-09,5.1454E-10,4.0813E-07
290.5,1.3783E-08,1.3303E-09,9.3814E-07
291,3.5052E-08,3.8965E-09,2.3940E-06
291.5,1.0913E-07,1.4425E-08,7.4792E-06
292,2.6830E-07,4.0789E-08,1.8451E-05
292.5,4.2685E-07,7.0414E-08,2.9455E-05
293,8.6466E-07,1.5760E-07,5.9871E-05
293.5,2.2707E-06,4.7095E-07,1.5776E-04
294,4.1744E-06,9.4558E-07,2.9102E-04
294.5,6.5911E-06,1.5965E-06,4.6107E-04
295,1.2290E-05,3.2246E-06,8.6264E-04
295.5,2.7826E-05,8.0206E-06,1.9597E-03
296,4.7904E-05,1.4737E-05,3.3852E-03
296.5,7.1345E-05,2.3312E-05,5.0588E-03
297,9.6800E-05,3.3187E-05,6.8869E-03
297.5,1.8608E-04,6.7912E-05,1.3283E-02
298,2.8988E-04,1.1127E-04,2.0763E-02
298.5,3.5789E-04,1.4270E-04,2.5720E-02
299,4.9211E-04,2.0323E-04,3.5484E-02
299.5,8.6068E-04,3.7386E-04,6.2269E-02
300,1.0205E-03,4.5631E-04,7.4078E-02
300.5,1.2450E-03,5.7207E-04,9.0676E-02
301,1.9300E-03,9.1926E-04,1.4103E-01
301.5,2.6914E-03,1.3201E-03,1.9733E-01
302,2.9209E-03,1.4570E-03,2.1486E-01
302.5,4.2840E-03,2.1910E-03,3.1618E-01
303,7.0945E-03,3.7332E-03,5.2534E-01
303.5,8.9795E-03,4.8044E-03,6.6712E-01
304,9.4701E-03,5.0973E-03,7.0589E-01
304.5,1.1953E-02,6.4675E-03,8.9389E-01
305,1.6463E-02,8.9336E-03,1.2352E+00
305.5,1.8719E-02,1.0186E-02,1.4091E+00
306,1.8577E-02,1.0150E-02,1.4030E+00
306.5,2.1108E-02,1.1568E-02,1.5993E+00
307,2.7849E-02,1.5246E-02,2.1170E+00
307.5,3.5635E-02,1.9468E-02,2.7177E+00
308,3.7837E-02,2.0753E-02,2.8950E+00
308.5,4.1430E-02,2.2750E-02,3.1802E+00
309,4.0534E-02,2.2298E-02,3.1215E+00
309.5,4.3306E-02,2.3672E-02,3.3458E+00
310,5.0939E-02,2.7826E-02,3.9483E+00
310.5,6.5540E-02,3.5879E-02,5.0964E+00
311,8.2922E-02,4.5392E-02,6.4688E+00
311.5,8.4080E-02,4.6156E-02,6.5803E+00
312,9.3376E-02,5.0898E-02,7.3313E+00
312.5,9.8984E-02,5.3766E-02,7.7965E+00
313,1.0733E-01,5.8323E-02,8.4809E+00
313.5,1.0757E-01,5.8999E-02,8.5271E+00
314,1.1969E-01,6.5266E-02,9.5181E+00
314.5,1.3060E-01,7.0476E-02,1.0419E+01
315,1.3625E-01,7.3686E-02,1.0904E+01
315.5,1.1838E-01,6.4833E-02,9.5041E+00
316,1.2348E-01,6.7088E-02,9.9450E+00
316.5,1.5036E-01,8.1118E-02,1.2148E+01
317,1.7158E-01,9.3020E-02,1.3907E+01
317.5,1.8245E-01,9.9712E-02,1.4834E+01
318,1.7594E-01,9.5815E-02,1.4350E+01
318.5,1.8591E-01,1.0005E-01,1.5211E+01
319,2.0470E-01,1.0971E-01,1.6801E+01
319.5,1.9589E-01,1.0693E-01,1.6128E+01
320,2.0527E-01,1.1277E-01,1.6953E+01
320.5,2.4525E-01,1.3305E-01,2.0319E+01
321,2.5024E-01,1.3414E-01,2.0797E+01
321.5,2.3843E-01,1.2817E-01,1.9877E+01
322,2.2203E-01,1.2200E-01,1.8568E+01
322.5,2.1709E-01,1.1970E-01,1.8211E+01
323,2.1226E-01,1.1623E-01,1.7861E+01
323.5,2.4861E-01,1.3393E-01,2.0985E+01
324,2.7537E-01,1.4852E-01,2.3315E+01
324.5,2.8321E-01,1.5467E-01,2.4053E+01
325,2.7894E-01,1.5504E-01,2.3764E+01
325.5,3.2436E-01,1.7936E-01,2.7718E+01
326,3.8120E-01,2.0868E-01,3.2675E+01
326.5,4.0722E-01,2.2162E-01,3.5013E+01
327,3.9806E-01,2.1834E-01,3.4330E+01
327.5,3.8465E-01,2.1285E-01,3.3275E+01
328,3.5116E-01,1.9773E-01,3.0471E+01
328.5,3.7164E-01,2.0675E-01,3.2346E+01
329,4.2235E-01,2.3297E-01,3.6872E+01
329.5,4.6878E-01,2.5864E-01,4.1050E+01
330,4.7139E-01,2.6192E-01,4.1404E+01
330.5,4.2800E-01,2.4103E-01,3.7707E+01
331,4.0262E-01,2.2835E-01,3.5578E+01
331.5,4.1806E-01,2.3635E-01,3.7054E+01
332,4.3623E-01,2.4508E-01,3.8782E+01
332.5,4.3919E-01,2.4655E-01,3.9162E+01
333,4.2944E-01,2.4263E-01,3.8408E+01
333.5,4.0724E-01,2.3265E-01,3.6532E+01
334,4.1497E-01,2.3823E-01,3.7337E+01
334.5,4.4509E-01,2.5434E-01,4.0167E+01
335,4.6388E-01,2.6477E-01,4.1988E+01
335.5,4.5313E-01,2.5894E-01,4.1138E+01
336,4.1519E-01,2.3813E-01,3.7806E+01
336.5,3.8214E-01,2.2099E-01,3.4900E+01
337,3.7380E-01,2.1767E-01,3.4240E+01
337.5,4.0051E-01,2.3434E-01,3.6795E+01
338,4.3411E-01,2.5321E-01,4.0001E+01
338.5,4.5527E-01,2.6549E-01,4.2075E+01
339,4.6355E-01,2.7096E-01,4.2966E+01
339.5,4.7446E-01,2.7847E-01,4.4108E+01
340,5.0180E-01,2.9659E-01,4.6787E+01
340.5,5.0071E-01,2.9674E-01,4.6822E+01
341,4.7139E-01,2.7932E-01,4.4210E+01
341.5,4.6935E-01,2.7853E-01,4.4148E+01
342,4.8934E-01,2.9121E-01,4.6163E+01
342.5,5.0767E-01,3.0296E-01,4.8033E+01
343,5.1489E-01,3.0857E-01,4.8858E+01
343.5,4.8609E-01,2.9246E-01,4.6260E+01
344,4.1843E-01,2.5352E-01,3.9937E+01
344.5,4.0307E-01,2.4439E-01,3.8583E+01
345,4.5898E-01,2.7854E-01,4.4062E+01
345.5,4.8932E-01,2.9761E-01,4.7111E+01
346,4.7778E-01,2.9132E-01,4.6133E+01
346.5,4.8657E-01,2.9747E-01,4.7118E+01
347,4.9404E-01,3.0318E-01,4.7979E+01
347.5,4.7674E-01,2.9351E-01,4.6433E+01
348,4.7511E-01,2.9306E-01,4.6407E+01
348.5,4.8336E-01,2.9884E-01,4.7349E+01
349,4.6564E-01,2.8864E-01,4.5744E+01
349.5,4.7805E-01,2.9720E-01,4.7098E+01
350,5.2798E-01,3.2913E-01,5.2166E+01
350.5,5.6741E-01,3.5471E-01,5.6222E+01
351,5.5172E-01,3.4603E-01,5.4823E+01
351.5,5.3022E-01,3.3388E-01,5.2837E+01
352,5.1791E-01,3.2674E-01,5.1758E+01
352.5,4.8962E-01,3.0954E-01,4.9069E+01
353,5.2040E-01,3.2975E-01,5.2302E+01
353.5,5.7228E-01,3.6351E-01,5.7679E+01
354,6.0498E-01,3.8523E-01,6.1148E+01
354.5,6.1156E-01,3.9043E-01,6.1988E+01
355,6.1140E-01,3.9140E-01,6.2146E+01
355.5,5.9028E-01,3.7878E-01,6.0169E+01
356,5.5387E-01,3.5627E-01,5.6616E+01
356.5,5.1942E-01,3.3495E-01,5.3244E+01
357,4.5673E-01,2.9527E-01,4.6949E+01
357.5,4.6215E-01,2.9950E-01,4.7640E+01
358,4.3006E-01,2.7936E-01,4.4456E+01
